time_s,joint,position,velocity,effort
1762773227.8821354,joint_a1,0.71,0.0,0.0
1762773227.8821354,joint_a2,1.54,0.0,0.0
1762773227.8821354,joint_a3,0.92,0.0,0.0
1762773227.8821354,joint_a4,1.39,0.0,0.0
1762773227.8821354,joint_a5,2.5,0.0,0.0
1762773227.8821354,joint_a6,1.74,0.0,0.0
1762773227.8821354,joint_a7,-1.2,0.0,0.0
1762773227.8870344,joint_a1,0.71,0.0,0.0
1762773227.8870344,joint_a2,1.54,0.0,0.0
1762773227.8870344,joint_a3,0.92,0.0,0.0
1762773227.8870344,joint_a4,1.39,0.0,0.0
1762773227.8870344,joint_a5,2.5,0.0,0.0
1762773227.8870344,joint_a6,1.74,0.0,0.0
1762773227.8870344,joint_a7,-1.2,0.0,0.0
1762773227.890843,joint_a1,0.71,0.0,0.0
1762773227.890843,joint_a2,1.54,0.0,0.0
1762773227.890843,joint_a3,0.92,0.0,0.0
1762773227.890843,joint_a4,1.39,0.0,0.0
1762773227.890843,joint_a5,2.5,0.0,0.0
1762773227.890843,joint_a6,1.74,0.0,0.0
1762773227.890843,joint_a7,-1.2,0.0,0.0
1762773227.8952339,joint_a1,0.71,0.0,0.0
1762773227.8952339,joint_a2,1.54,0.0,0.0
1762773227.8952339,joint_a3,0.92,0.0,0.0
1762773227.8952339,joint_a4,1.39,0.0,0.0
1762773227.8952339,joint_a5,2.5,0.0,0.0
1762773227.8952339,joint_a6,1.74,0.0,0.0
1762773227.8952339,joint_a7,-1.2,0.0,0.0
1762773227.9007726,joint_a1,0.71,0.0,0.0
1762773227.9007726,joint_a2,1.54,0.0,0.0
1762773227.9007726,joint_a3,0.92,0.0,0.0
1762773227.9007726,joint_a4,1.39,0.0,0.0
1762773227.9007726,joint_a5,2.5,0.0,0.0
1762773227.9007726,joint_a6,1.74,0.0,0.0
1762773227.9007726,joint_a7,-1.2,0.0,0.0
1762773227.9068952,joint_a1,0.71,0.0,0.0
1762773227.9068952,joint_a2,1.54,0.0,0.0
1762773227.9068952,joint_a3,0.92,0.0,0.0
1762773227.9068952,joint_a4,1.39,0.0,0.0
1762773227.9068952,joint_a5,2.5,0.0,0.0
1762773227.9068952,joint_a6,1.74,0.0,0.0
1762773227.9068952,joint_a7,-1.2,0.0,0.0
1762773227.908947,joint_a1,0.71,0.0,0.0
1762773227.908947,joint_a2,1.54,0.0,0.0
1762773227.908947,joint_a3,0.92,0.0,0.0
1762773227.908947,joint_a4,1.39,0.0,0.0
1762773227.908947,joint_a5,2.5,0.0,0.0
1762773227.908947,joint_a6,1.74,0.0,0.0
1762773227.908947,joint_a7,-1.2,0.0,0.0
1762773227.913,joint_a1,0.71,0.0,0.0
1762773227.913,joint_a2,1.54,0.0,0.0
1762773227.913,joint_a3,0.92,0.0,0.0
1762773227.913,joint_a4,1.39,0.0,0.0
1762773227.913,joint_a5,2.5,0.0,0.0
1762773227.913,joint_a6,1.74,0.0,0.0
1762773227.913,joint_a7,-1.2,0.0,0.0
1762773227.9176238,joint_a1,0.71,0.0,0.0
1762773227.9176238,joint_a2,1.54,0.0,0.0
1762773227.9176238,joint_a3,0.92,0.0,0.0
1762773227.9176238,joint_a4,1.39,0.0,0.0
1762773227.9176238,joint_a5,2.5,0.0,0.0
1762773227.9176238,joint_a6,1.74,0.0,0.0
1762773227.9176238,joint_a7,-1.2,0.0,0.0
1762773227.922003,joint_a1,0.71,0.0,0.0
1762773227.922003,joint_a2,1.54,0.0,0.0
1762773227.922003,joint_a3,0.92,0.0,0.0
1762773227.922003,joint_a4,1.39,0.0,0.0
1762773227.922003,joint_a5,2.5,0.0,0.0
1762773227.922003,joint_a6,1.74,0.0,0.0
1762773227.922003,joint_a7,-1.2,0.0,0.0
1762773227.926316,joint_a1,0.71,0.0,0.0
1762773227.926316,joint_a2,1.54,0.0,0.0
1762773227.926316,joint_a3,0.92,0.0,0.0
1762773227.926316,joint_a4,1.39,0.0,0.0
1762773227.926316,joint_a5,2.5,0.0,0.0
1762773227.926316,joint_a6,1.74,0.0,0.0
1762773227.926316,joint_a7,-1.2,0.0,0.0
1762773227.9320087,joint_a1,0.71,0.0,0.0
1762773227.9320087,joint_a2,1.54,0.0,0.0
1762773227.9320087,joint_a3,0.92,0.0,0.0
1762773227.9320087,joint_a4,1.39,0.0,0.0
1762773227.9320087,joint_a5,2.5,0.0,0.0
1762773227.9320087,joint_a6,1.74,0.0,0.0
1762773227.9320087,joint_a7,-1.2,0.0,0.0
1762773227.9355612,joint_a1,0.71,0.0,0.0
1762773227.9355612,joint_a2,1.54,0.0,0.0
1762773227.9355612,joint_a3,0.92,0.0,0.0
